epoch,train_loss,val_loss,train_dpos,train_dneg,train_viol,val_dpos,val_dneg,val_viol,recall_at_1
1,0.015240,0.000000,,,,,,,
2,0.001475,0.000298,,,,,,,
3,0.001803,0.000000,,,,,,,
4,0.000164,0.000000,,,,,,,
5,0.000545,0.000000,,,,,,,
6,0.000265,0.000000,,,,,,,
final_summary,0.000265,0.000000,,,,0.161950,1.263036,0.000000,1.000000
