epoch,train_loss,val_loss,train_dpos,train_dneg,train_viol,val_dpos,val_dneg,val_viol,recall_at_1
1,0.015506,0.000542,,,,,,,
2,0.001532,0.000000,,,,,,,
3,0.002186,0.000000,,,,,,,
4,0.001175,0.000000,,,,,,,
5,0.000708,0.000000,,,,,,,
6,0.000750,0.000144,,,,,,,
7,0.000719,0.000000,,,,,,,
final_summary,0.000719,0.000000,,,,0.132510,0.988329,0.000000,1.000000
